{'time': 1.0413882732391357, 'x': -2.010108088993541, 'y': -0.02717819111589993, 'z': 0.7468928969329055, 'yaw': 0.005426297100788777, 'velocity': 0.0027728124070197043, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0558619499206543, 'x': -2.010078120908344, 'y': -0.027130972189625326, 'z': 0.7468933104942665, 'yaw': 0.006750063725350605, 'velocity': 0.005957054597117887, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0658786296844482, 'x': -2.010074996739343, 'y': -0.027147024235872685, 'z': 0.7468827283377615, 'yaw': 0.006777391938868597, 'velocity': 0.001944603097399613, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0757520198822021, 'x': -2.010063463284204, 'y': -0.027136223079378383, 'z': 0.7468688203226307, 'yaw': 0.006964821987857784, 'velocity': 0.0021320315036969396, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0817394256591797, 'x': -2.0100687258628533, 'y': -0.027148864953854476, 'z': 0.746891078560618, 'yaw': 0.007195050152717619, 'velocity': 0.004364684574192752, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.095513105392456, 'x': -2.010072687461668, 'y': -0.027167286179727426, 'z': 0.7468889229128695, 'yaw': 0.006552091343565024, 'velocity': 0.0018771087660801066, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1057450771331787, 'x': -2.010061179446674, 'y': -0.02715433722836147, 'z': 0.746883302004114, 'yaw': 0.006764425316767193, 'velocity': 0.0017799846692663679, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1155648231506348, 'x': -2.0100665922313525, 'y': -0.027153791063768497, 'z': 0.7469050279267876, 'yaw': 0.006828063315445154, 'velocity': 0.0022807821832569733, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.125490427017212, 'x': -2.0101234505433085, 'y': -0.02716539682407437, 'z': 0.7469182461142918, 'yaw': 0.005357934501352221, 'velocity': 0.005996317426176355, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1364665031433105, 'x': -2.0100704890934624, 'y': -0.027148355643594507, 'z': 0.7468755324994215, 'yaw': 0.007166310549920318, 'velocity': 0.006390359413955081, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1455731391906738, 'x': -2.0100763185247468, 'y': -0.027147818677332316, 'z': 0.7468769755549851, 'yaw': 0.007571733728962782, 'velocity': 0.0006620826621278194, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.155834436416626, 'x': -2.0101140830325344, 'y': -0.027207943703363213, 'z': 0.7469025173489835, 'yaw': 0.004908888928459324, 'velocity': 0.008120181438494547, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1618177890777588, 'x': -2.0101371332378313, 'y': -0.027164127611553443, 'z': 0.7469219306712507, 'yaw': 0.005577954100184431, 'velocity': 0.008887878151510353, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1757838726043701, 'x': -2.0101222614858942, 'y': -0.02715165527763707, 'z': 0.7469201083440555, 'yaw': 0.005163075222406398, 'velocity': 0.0017764688418069965, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.186032772064209, 'x': -2.010096371644124, 'y': -0.027165361044619387, 'z': 0.7468457841210283, 'yaw': 0.006090207579224342, 'velocity': 0.007794867250815624, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1960086822509766, 'x': -2.0100681821950186, 'y': -0.027164834070905256, 'z': 0.7469150881471109, 'yaw': 0.006561575968531413, 'velocity': 0.007500026239790511, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2059967517852783, 'x': -2.0100671983014484, 'y': -0.027136057661290805, 'z': 0.7468592895710827, 'yaw': 0.007944018101619096, 'velocity': 0.006286457660138183, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2159700393676758, 'x': -2.010073422065872, 'y': -0.027152098847816254, 'z': 0.7468963223472738, 'yaw': 0.006979967492541289, 'velocity': 0.004094417828989837, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
