{'time': 1.0395870208740234, 'x': -2.013494537369232, 'y': -0.022339972620821887, 'z': 0.746896454106066, 'yaw': 0.003912024411165011, 'velocity': 0.0010101481521995344, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0495328903198242, 'x': -2.0135021560937103, 'y': -0.02234529060269798, 'z': 0.7469211663722682, 'yaw': 0.0034212066690763356, 'velocity': 0.0026544862931309004, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0555429458618164, 'x': -2.013504870735834, 'y': -0.02234321259855159, 'z': 0.7469307667024997, 'yaw': 0.0034909007313892316, 'velocity': 0.001695635696547345, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0705244541168213, 'x': -2.013494906278829, 'y': -0.022325032170062084, 'z': 0.7469072461572298, 'yaw': 0.003956889490536767, 'velocity': 0.0029339522303494956, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0765340328216553, 'x': -2.0134977714205835, 'y': -0.022332296744743345, 'z': 0.7468945569843544, 'yaw': 0.003971388447137414, 'velocity': 0.002479309190522062, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.090475082397461, 'x': -2.0134885396178293, 'y': -0.022343091925122273, 'z': 0.7468996974554087, 'yaw': 0.004006682384570414, 'velocity': 0.0010835514657694717, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.096459150314331, 'x': -2.0135081313346097, 'y': -0.02234521063607063, 'z': 0.7468984401495182, 'yaw': 0.0037438139581992195, 'velocity': 0.00329976457210929, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1104583740234375, 'x': -2.0135031039011677, 'y': -0.022346708817430984, 'z': 0.7469061390814092, 'yaw': 0.004144432471458547, 'velocity': 0.0009307197038650227, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1204941272735596, 'x': -2.013505380611453, 'y': -0.022320003495567467, 'z': 0.7469328544693112, 'yaw': 0.003705885320702502, 'velocity': 0.0037707877234622856, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1305012702941895, 'x': -2.013502988327527, 'y': -0.022330982239559687, 'z': 0.7469248768074361, 'yaw': 0.003718776246678683, 'velocity': 0.0013770545778038785, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1366040706634521, 'x': -2.0134862667501383, 'y': -0.022354605211172215, 'z': 0.7468965380478516, 'yaw': 0.003710509992953708, 'velocity': 0.006637291357981993, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1495695114135742, 'x': -2.0134950497866524, 'y': -0.02233458541611388, 'z': 0.7469059973564391, 'yaw': 0.00374224799778102, 'velocity': 0.0029845287946776216, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1601545810699463, 'x': -2.0135223075863484, 'y': -0.022292016182216448, 'z': 0.7469606196321906, 'yaw': 0.003228013080326585, 'velocity': 0.0077610870845634715, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1700944900512695, 'x': -2.013472950058603, 'y': -0.022413551404194494, 'z': 0.7468804637474679, 'yaw': 0.004030406951731072, 'velocity': 0.015465618557269155, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1803147792816162, 'x': -2.0135042395755467, 'y': -0.022333621309359578, 'z': 0.7469437266319721, 'yaw': 0.003523361820934697, 'velocity': 0.01043320963603571, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1862945556640625, 'x': -2.0134954335548585, 'y': -0.022336897703653984, 'z': 0.7468863128367624, 'yaw': 0.0038649893472293725, 'velocity': 0.009729047244320166, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.196268081665039, 'x': -2.0135048912013374, 'y': -0.022332061110872284, 'z': 0.7469128492155093, 'yaw': 0.004182129868575192, 'velocity': 0.0048196213647401865, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.210296392440796, 'x': -2.0134944176236584, 'y': -0.022347336304512053, 'z': 0.7468890994015933, 'yaw': 0.0035595317908736425, 'velocity': 0.002983964428730265, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2202448844909668, 'x': -2.0134949668726803, 'y': -0.022340592889358343, 'z': 0.7469199820926248, 'yaw': 0.003890772353358401, 'velocity': 0.0031778807945710887, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2302188873291016, 'x': -2.0135909165508226, 'y': -0.0222635770494606, 'z': 0.7470477872218946, 'yaw': 0.0036341544356922697, 'velocity': 0.019757398297335617, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.24019455909729, 'x': -2.013499827755233, 'y': -0.02232601907206715, 'z': 0.7469233634652395, 'yaw': 0.003923179421466217, 'velocity': 0.01667711239715062, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2502036094665527, 'x': -2.0135064620866534, 'y': -0.022348921019944557, 'z': 0.746881025505296, 'yaw': 0.004037699815137462, 'velocity': 0.004854635519511966, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2601776123046875, 'x': -2.013543751860418, 'y': -0.0222802547085821, 'z': 0.7469701951736913, 'yaw': 0.0031182473256403114, 'velocity': 0.011887048745516033, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.270176649093628, 'x': -2.0135391696042366, 'y': -0.022280707304903544, 'z': 0.7469781288254602, 'yaw': 0.0031753063695344075, 'velocity': 0.000917392815003536, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2762947082519531, 'x': -2.0135095564296255, 'y': -0.02230966795294763, 'z': 0.7468899207805051, 'yaw': 0.003987953933907392, 'velocity': 0.01592809959733665, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2903356552124023, 'x': -2.01352309150007, 'y': -0.022278452921716013, 'z': 0.7469606554418498, 'yaw': 0.003258786705049559, 'velocity': 0.007791603668716665, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3003735542297363, 'x': -2.0135259397880945, 'y': -0.022305885597182537, 'z': 0.7469860583340643, 'yaw': 0.0027318534181327184, 'velocity': 0.0037354713931341582, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.306352138519287, 'x': -2.0134974888551795, 'y': -0.022341498422979472, 'z': 0.7469117581233298, 'yaw': 0.0038763378849769633, 'velocity': 0.0145800307606733, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3163049221038818, 'x': -2.0134993475197, 'y': -0.02233065405026556, 'z': 0.7469141283529915, 'yaw': 0.003932803486887193, 'velocity': 0.0018810376962937294, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3309030532836914, 'x': -2.0134945106394757, 'y': -0.02233745031646734, 'z': 0.7468848955783097, 'yaw': 0.004049020154711693, 'velocity': 0.0027171019955156946, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3402724266052246, 'x': -2.0134976845233035, 'y': -0.022327118759175802, 'z': 0.7469015707059433, 'yaw': 0.004021424460400835, 'velocity': 0.0021208941720276503, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3502540588378906, 'x': -2.013543498636984, 'y': -0.022274909957152405, 'z': 0.746957531811857, 'yaw': 0.003302216860674025, 'velocity': 0.008936244262930992, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3604304790496826, 'x': -2.0135279725888204, 'y': -0.022299629924264208, 'z': 0.746939895047429, 'yaw': 0.002976155533102792, 'velocity': 0.0033514317039894286, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.370152473449707, 'x': -2.013526204602646, 'y': -0.022293601708607648, 'z': 0.74699150805072, 'yaw': 0.00298364653785983, 'velocity': 0.005962169902293382, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3801300525665283, 'x': -2.013513108640355, 'y': -0.022313870126788492, 'z': 0.746926057345793, 'yaw': 0.003959456138705369, 'velocity': 0.00699142465547885, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3902614116668701, 'x': -2.013511396878349, 'y': -0.022326616774135822, 'z': 0.7469262393625591, 'yaw': 0.004110276483656835, 'velocity': 0.0012695590815361933, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4003384113311768, 'x': -2.0135093999195073, 'y': -0.02235988545319219, 'z': 0.7468842350734427, 'yaw': 0.004011592284314203, 'velocity': 0.005321073376825185, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.411306619644165, 'x': -2.013509488949423, 'y': -0.022329832960040985, 'z': 0.7469009503725629, 'yaw': 0.004131603493765023, 'velocity': 0.0034492866267981774, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4202828407287598, 'x': -2.0134978537258097, 'y': -0.022339374913328748, 'z': 0.7468948290657449, 'yaw': 0.004227464216196422, 'velocity': 0.0018097736488587235, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4302916526794434, 'x': -2.013524750724716, 'y': -0.02226371220766828, 'z': 0.746974342351374, 'yaw': 0.0030296225014393966, 'velocity': 0.012537350887020963, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4412269592285156, 'x': -2.013516278983929, 'y': -0.022293608927792273, 'z': 0.7469735612711936, 'yaw': 0.0028619946507687454, 'velocity': 0.0031173628404313346, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4502248764038086, 'x': -2.0134936644973114, 'y': -0.022342548321508306, 'z': 0.7468655946644397, 'yaw': 0.0037379374929831385, 'velocity': 0.01341181089228917, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4602644443511963, 'x': -2.0134941723774307, 'y': -0.02233511215751586, 'z': 0.746895749259721, 'yaw': 0.003729225902526108, 'velocity': 0.003435666063587514, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
