{'time': 1.03822922706604, 'x': -2.20489423941805, 'y': -0.04292718543356685, 'z': 0.7498404074695073, 'yaw': 0.03678701308874982, 'velocity': 0.0014987271590118636, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0523524284362793, 'x': -2.204908629920341, 'y': -0.042936325288250456, 'z': 0.7498127792974111, 'yaw': 0.036953395670377615, 'velocity': 0.0032020905865693707, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0582101345062256, 'x': -2.204903343359264, 'y': -0.042922409791226454, 'z': 0.7498265241875065, 'yaw': 0.03764070851433444, 'velocity': 0.003458873764436023, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0683519840240479, 'x': -2.204906774687339, 'y': -0.04290991837028197, 'z': 0.7498173608995489, 'yaw': 0.03716883067214113, 'velocity': 0.0026381591590632974, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0822901725769043, 'x': -2.2048933336937977, 'y': -0.04293712397458613, 'z': 0.7498345411634799, 'yaw': 0.03717004139168098, 'velocity': 0.003496243980094893, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0922648906707764, 'x': -2.2049221582355125, 'y': -0.04291862436184152, 'z': 0.7497876234271205, 'yaw': 0.03725857672872661, 'velocity': 0.005823650792241119, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1023790836334229, 'x': -2.2049353126267324, 'y': -0.043102702913260106, 'z': 0.7498734833132811, 'yaw': 0.03445698210499336, 'velocity': 0.022326545268518846, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1123368740081787, 'x': -2.204893334282217, 'y': -0.04295455309606835, 'z': 0.7497991752718002, 'yaw': 0.03669776493824251, 'velocity': 0.019137959455681162, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1228554248809814, 'x': -2.2049079188889906, 'y': -0.04291521225444922, 'z': 0.7498434360580915, 'yaw': 0.03751296559821736, 'velocity': 0.006408100475062729, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1328272819519043, 'x': -2.204912518137, 'y': -0.042932819778463714, 'z': 0.7498302845781621, 'yaw': 0.037301799590562984, 'velocity': 0.002251641677218626, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.14180326461792, 'x': -2.2048948581473735, 'y': -0.04293343716713767, 'z': 0.7498092746632307, 'yaw': 0.03694039549403609, 'velocity': 0.0030585068151077932, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
