{'time': 1.0361552238464355, 'x': -2.2011849274167234, 'y': -0.057090803407334335, 'z': 0.749805902648946, 'yaw': -0.015576229098132721, 'velocity': 0.0007792263063596242, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0501642227172852, 'x': -2.201190592935274, 'y': -0.05708291645793389, 'z': 0.7497953197220987, 'yaw': -0.015283537105376332, 'velocity': 0.0016081649253511215, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0611653327941895, 'x': -2.2011664627934753, 'y': -0.05707359579824495, 'z': 0.7497816100235182, 'yaw': -0.015755422626213544, 'velocity': 0.0029263641801556546, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0702199935913086, 'x': -2.201180993398854, 'y': -0.05707622596169739, 'z': 0.7498028093329954, 'yaw': -0.015600446535287027, 'velocity': 0.0028532689191882025, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0801668167114258, 'x': -2.2011812662972656, 'y': -0.05706945815050905, 'z': 0.7497900160975998, 'yaw': -0.01536600861497206, 'velocity': 0.0014553044448830578, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0905234813690186, 'x': -2.201173452536363, 'y': -0.05706926990359586, 'z': 0.7498016447994403, 'yaw': -0.015226607164451345, 'velocity': 0.0013528792733255423, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0995433330535889, 'x': -2.201177007597704, 'y': -0.05708117865996133, 'z': 0.7498085107539773, 'yaw': -0.015240364870542145, 'velocity': 0.001574142357332727, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1106574535369873, 'x': -2.201184344041573, 'y': -0.05708485442877718, 'z': 0.7497898509110466, 'yaw': -0.015373648151062014, 'velocity': 0.0020120120098092763, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1204941272735596, 'x': -2.2011965085578677, 'y': -0.05709781722254773, 'z': 0.7497904598100671, 'yaw': -0.015464239222138687, 'velocity': 0.001808241393172548, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1264779567718506, 'x': -2.2011819804259836, 'y': -0.057086824378349076, 'z': 0.749809093871954, 'yaw': -0.015183333437951418, 'velocity': 0.004355115187894335, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1402738094329834, 'x': -2.201171691940415, 'y': -0.05706371049918352, 'z': 0.749797869731978, 'yaw': -0.01537165788168604, 'velocity': 0.0029044534734614315, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1462581157684326, 'x': -2.2011766244681388, 'y': -0.057078333856829595, 'z': 0.7497973837192008, 'yaw': -0.015650008589394915, 'velocity': 0.0025801631388420974, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1604948043823242, 'x': -2.2011804225424623, 'y': -0.05707854416940241, 'z': 0.7497838341293381, 'yaw': -0.015437182302778574, 'velocity': 0.001437572811098875, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.16650390625, 'x': -2.201170157357419, 'y': -0.05713253944142352, 'z': 0.7497485877278405, 'yaw': -0.01638946023364607, 'velocity': 0.01086567906899927, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1796646118164062, 'x': -2.20118936545229, 'y': -0.057093275212810046, 'z': 0.7497843634560163, 'yaw': -0.015346861144486468, 'velocity': 0.0062933841628610735, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1906754970550537, 'x': -2.201187154327733, 'y': -0.0570840023973055, 'z': 0.749786356779888, 'yaw': -0.015558587482265018, 'velocity': 0.0009725298099361149, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1966185569763184, 'x': -2.2011650743543263, 'y': -0.05707187974515602, 'z': 0.7498133074677369, 'yaw': -0.01554284200816447, 'velocity': 0.006207129276425116, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2096514701843262, 'x': -2.2011718622600145, 'y': -0.057086241539084516, 'z': 0.7497740045920869, 'yaw': -0.015400791353984644, 'velocity': 0.004768256278701573, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2206244468688965, 'x': -2.201183323516571, 'y': -0.05707897032477791, 'z': 0.7497943938151832, 'yaw': -0.015466597078687805, 'velocity': 0.0024553639575235426, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2266051769256592, 'x': -2.2011877770232022, 'y': -0.05709179646394745, 'z': 0.7497946819219093, 'yaw': -0.015457290085644004, 'velocity': 0.0022706884304351752, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.240600347518921, 'x': -2.2011831539716438, 'y': -0.057093455472679785, 'z': 0.7498029122137431, 'yaw': -0.015568684178218106, 'velocity': 0.0006848433069148286, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.246584177017212, 'x': -2.2011839732522325, 'y': -0.057070685827113735, 'z': 0.7497715616060727, 'yaw': -0.015580013528756709, 'velocity': 0.006476704833062337, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2598860263824463, 'x': -2.20117042643812, 'y': -0.057137229124740264, 'z': 0.749748547974641, 'yaw': -0.016224259281125697, 'velocity': 0.007847079306805243, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2707674503326416, 'x': -2.2011677155866174, 'y': -0.05707506883949628, 'z': 0.7498006237217496, 'yaw': -0.015578532581923987, 'velocity': 0.008115206567076134, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2800624370574951, 'x': -2.2011800748487267, 'y': -0.057066691357810354, 'z': 0.7497840406812019, 'yaw': -0.015522660590190362, 'velocity': 0.002400687983022003, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2901842594146729, 'x': -2.201177483281617, 'y': -0.05712438364249124, 'z': 0.7497478251481446, 'yaw': -0.016190169006529587, 'velocity': 0.007470703714575643, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.300781011581421, 'x': -2.2011808480801394, 'y': -0.05708299484622041, 'z': 0.7497961922721086, 'yaw': -0.015450578694808925, 'velocity': 0.006015750362081249, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.306729793548584, 'x': -2.2011907817361687, 'y': -0.05708651836074938, 'z': 0.7497931769598958, 'yaw': -0.015363148298713547, 'velocity': 0.0018428784556977036, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.316572904586792, 'x': -2.201177552235213, 'y': -0.05708791849215863, 'z': 0.7497853904873126, 'yaw': -0.015394467627640296, 'velocity': 0.002576449617036982, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.32659912109375, 'x': -2.201191388968421, 'y': -0.057076963209294174, 'z': 0.7497905807057724, 'yaw': -0.015471363763770896, 'velocity': 0.0018347870031420002, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3402934074401855, 'x': -2.2011733302504672, 'y': -0.05707267728975899, 'z': 0.7498066489922519, 'yaw': -0.015249734382461355, 'velocity': 0.0017926793962543472, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
