{'time': 1.0478532314300537, 'x': -2.1931329472968413, 'y': -0.03477287168032321, 'z': 0.7495830949355117, 'yaw': 0.05139673907072308, 'velocity': 0.004120151569141553, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.053837537765503, 'x': -2.1931302117247577, 'y': -0.034715216853173816, 'z': 0.7495993680476384, 'yaw': 0.048285654390982265, 'velocity': 0.010021177770326566, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0638110637664795, 'x': -2.1931634331302847, 'y': -0.03478021956844906, 'z': 0.7494638365087398, 'yaw': 0.052034631084539394, 'velocity': 0.025740515777758002, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0737836360931396, 'x': -2.1931308432041567, 'y': -0.03478595236333936, 'z': 0.7495491745058123, 'yaw': 0.05080180455139201, 'velocity': 0.01529665247221269, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0838184356689453, 'x': -2.193146729165626, 'y': -0.0347752955271285, 'z': 0.7496272590353485, 'yaw': 0.051373862536338535, 'velocity': 0.0134351367204452, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0938379764556885, 'x': -2.193126828553804, 'y': -0.03478118370486271, 'z': 0.7496205280350268, 'yaw': 0.051030194137138565, 'velocity': 0.002177513409027532, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1077816486358643, 'x': -2.193165624669759, 'y': -0.034668856903021364, 'z': 0.7496243221041943, 'yaw': 0.04910553698836675, 'velocity': 0.008527055088935746, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1137654781341553, 'x': -2.1931472555939986, 'y': -0.03478260734550769, 'z': 0.749609374431861, 'yaw': 0.05120403413082674, 'velocity': 0.019417261514746945, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1237387657165527, 'x': -2.193124563582322, 'y': -0.03476938297841041, 'z': 0.7496258535537548, 'yaw': 0.05069497423962778, 'velocity': 0.005181220608238295, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1377012729644775, 'x': -2.1931089864388595, 'y': -0.03465603027833403, 'z': 0.7495777014041192, 'yaw': 0.05281644488993889, 'velocity': 0.012449972218420223, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.147674798965454, 'x': -2.193132695464557, 'y': -0.034798187255332895, 'z': 0.7494667690323252, 'yaw': 0.051403711293790656, 'velocity': 0.018235281090671313, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1536593437194824, 'x': -2.193164323734817, 'y': -0.03476527554318035, 'z': 0.749640100363825, 'yaw': 0.05113027689305007, 'velocity': 0.029950622387563106, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1678240299224854, 'x': -2.1931359519308806, 'y': -0.03478611945160805, 'z': 0.7496179843081671, 'yaw': 0.05068707488957552, 'velocity': 0.0029351731489890673, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1736958026885986, 'x': -2.193168813002546, 'y': -0.03476242683688907, 'z': 0.7496116541964069, 'yaw': 0.05140788087877684, 'velocity': 0.006983099715461409, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1836693286895752, 'x': -2.1931403343414515, 'y': -0.03479718486097757, 'z': 0.749601560431146, 'yaw': 0.05079103826719131, 'velocity': 0.0046176982391633176, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.193711280822754, 'x': -2.193118054376593, 'y': -0.03467253653956285, 'z': 0.7495542941221867, 'yaw': 0.05284821797597324, 'velocity': 0.022503832648619857, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2077007293701172, 'x': -2.193147169594498, 'y': -0.0347549598011044, 'z': 0.7495989272957083, 'yaw': 0.05146233402889958, 'velocity': 0.007015997569846804, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2136332988739014, 'x': -2.193119757426243, 'y': -0.03466367519821254, 'z': 0.7495329468667541, 'yaw': 0.053317484560973176, 'velocity': 0.019539794971458618, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.223625659942627, 'x': -2.1931461358052835, 'y': -0.034774670608319805, 'z': 0.7496063089845891, 'yaw': 0.050750653611784935, 'velocity': 0.022681965790029224, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2376303672790527, 'x': -2.1931394413495506, 'y': -0.034777373299963034, 'z': 0.7495918876074289, 'yaw': 0.05085083055815248, 'velocity': 0.001616606273603934, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2476410865783691, 'x': -2.193145930962918, 'y': -0.03471028890898502, 'z': 0.7495663226249822, 'yaw': 0.04835322548688009, 'velocity': 0.007200609220115317, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2536370754241943, 'x': -2.1931247215386716, 'y': -0.03476979124586345, 'z': 0.7496093910956647, 'yaw': 0.05104010644045142, 'velocity': 0.012750908678150038, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2677209377288818, 'x': -2.1931485898242027, 'y': -0.03476344646942839, 'z': 0.749590501355476, 'yaw': 0.05128887921737218, 'velocity': 0.0022077027791323747, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2736172676086426, 'x': -2.19313233898593, 'y': -0.034786435664512436, 'z': 0.7495991679642289, 'yaw': 0.05115150024066513, 'velocity': 0.004995785259577675, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2836334705352783, 'x': -2.1931454627409757, 'y': -0.03478630660271054, 'z': 0.7495776361019652, 'yaw': 0.05130839920987658, 'velocity': 0.004214271386687474, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2936983108520508, 'x': -2.1931635323333927, 'y': -0.03480436140787839, 'z': 0.7496206602310791, 'yaw': 0.05088630990447614, 'velocity': 0.0049713263405379215, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.303689956665039, 'x': -2.1931343436330266, 'y': -0.034857676847459315, 'z': 0.7496330911421836, 'yaw': 0.0498533021720407, 'velocity': 0.006209253636419953, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.313744068145752, 'x': -2.1931309500193996, 'y': -0.034774179419757446, 'z': 0.7496031912743398, 'yaw': 0.05102970555203756, 'velocity': 0.014764717865313352, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3277268409729004, 'x': -2.1931283781672644, 'y': -0.03476468540123679, 'z': 0.7496158524716985, 'yaw': 0.05179903300238394, 'velocity': 0.001146624420708611, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3337109088897705, 'x': -2.1931265740507095, 'y': -0.03479403872399707, 'z': 0.7496117282776502, 'yaw': 0.05105494302223034, 'velocity': 0.004962591988923288, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3477239608764648, 'x': -2.1931385692523726, 'y': -0.03470219531334179, 'z': 0.7495934892795062, 'yaw': 0.04835707555863542, 'velocity': 0.006736727167016488, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.353722095489502, 'x': -2.193123380852944, 'y': -0.034810945784763195, 'z': 0.7495733130733211, 'yaw': 0.05101939073880664, 'velocity': 0.01861315675132826, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.363715648651123, 'x': -2.193148126649916, 'y': -0.03471325300145135, 'z': 0.7495824367081627, 'yaw': 0.04869409621023982, 'velocity': 0.010125556931857755, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3737595081329346, 'x': -2.1930706242105282, 'y': -0.034963003065708965, 'z': 0.7495518959580864, 'yaw': 0.052057709746982754, 'velocity': 0.026212672070783434, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3838880062103271, 'x': -2.1931460639007874, 'y': -0.034780827750440925, 'z': 0.7496109095120199, 'yaw': 0.05096002371018563, 'velocity': 0.03426213650039657, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3977181911468506, 'x': -2.193136515266449, 'y': -0.034755575621031244, 'z': 0.7496195094359099, 'yaw': 0.05088766662020532, 'velocity': 0.0020486939595973884, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4037017822265625, 'x': -2.1931285048023303, 'y': -0.03480172351543739, 'z': 0.7495981363092558, 'yaw': 0.050325623195674886, 'velocity': 0.008604204059351648, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4176716804504395, 'x': -2.193143997754399, 'y': -0.03477857322390723, 'z': 0.7495823322382481, 'yaw': 0.051303628588384984, 'velocity': 0.002292580552008216, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4236748218536377, 'x': -2.1931491437615236, 'y': -0.03487494122038164, 'z': 0.7495239375271479, 'yaw': 0.04994514746602071, 'velocity': 0.0187897001621993, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.433631181716919, 'x': -2.193129125804551, 'y': -0.03478541394723525, 'z': 0.7496068032092739, 'yaw': 0.05113785496539246, 'velocity': 0.012416455808307301, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4436042308807373, 'x': -2.193109318847023, 'y': -0.0346798770598192, 'z': 0.7495433006262608, 'yaw': 0.05338047155264732, 'velocity': 0.020845606631025502, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4575707912445068, 'x': -2.1931386111604794, 'y': -0.03485613532012177, 'z': 0.7496125677263923, 'yaw': 0.05026950362354103, 'velocity': 0.013720795422483436, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4635505676269531, 'x': -2.1931292443261574, 'y': -0.03477233304318473, 'z': 0.7495622101657855, 'yaw': 0.051417274305950535, 'velocity': 0.016424745927846263, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.473599910736084, 'x': -2.193053265434124, 'y': -0.03497879912041058, 'z': 0.7494964629871634, 'yaw': 0.05139326413402807, 'velocity': 0.03822813044449447, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4875915050506592, 'x': -2.1931285772530944, 'y': -0.03465306443363927, 'z': 0.7495683336603279, 'yaw': 0.05266470656865437, 'velocity': 0.024803412553392475, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4976606369018555, 'x': -2.193142649156747, 'y': -0.03477360244488893, 'z': 0.7496162098162626, 'yaw': 0.0509146346164639, 'velocity': 0.014458575930201053, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5077831745147705, 'x': -2.193210237924962, 'y': -0.0347975787726523, 'z': 0.7494853196804611, 'yaw': 0.05006863607495793, 'velocity': 0.014744250764320555, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5137720108032227, 'x': -2.1931156367970517, 'y': -0.03478269394160555, 'z': 0.7495927513254568, 'yaw': 0.05052422404613539, 'velocity': 0.02403110350272949, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5237503051757812, 'x': -2.193118132694201, 'y': -0.034796262271435265, 'z': 0.7494423657778636, 'yaw': 0.051767684866898415, 'velocity': 0.015134553050635548, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
