{'time': 1.039386510848999, 'x': -2.02523288822607, 'y': -0.04174784408197419, 'z': 0.7476269251332287, 'yaw': -0.02196645435061928, 'velocity': 0.001650718608473764, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.049518346786499, 'x': -2.0252444014946467, 'y': -0.04173065747365283, 'z': 0.7476053343529941, 'yaw': -0.021359302039843264, 'velocity': 0.002951236986743348, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.059441089630127, 'x': -2.0252595974803707, 'y': -0.041730049676885574, 'z': 0.7476370399729365, 'yaw': -0.02167141899569458, 'velocity': 0.0035438166823081128, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.069408893585205, 'x': -2.0252455909485048, 'y': -0.04173449474967757, 'z': 0.7476327682026817, 'yaw': -0.02142642753537949, 'velocity': 0.0015352685049197714, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0803635120391846, 'x': -2.025223509881262, 'y': -0.04172321353164542, 'z': 0.747614992475388, 'yaw': -0.021777603975601245, 'velocity': 0.002785060532285331, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0895965099334717, 'x': -2.0252457104584445, 'y': -0.04173668079882816, 'z': 0.7476194294940703, 'yaw': -0.021698262699269222, 'velocity': 0.0028530670669214726, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.099456548690796, 'x': -2.0252362121098946, 'y': -0.04172512560764554, 'z': 0.7476067553042695, 'yaw': -0.022118601691030193, 'velocity': 0.001988380966780542, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1104271411895752, 'x': -2.0252661150778652, 'y': -0.041748369351843256, 'z': 0.7476341606422452, 'yaw': -0.0217837054728518, 'velocity': 0.005195586449094108, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.119558334350586, 'x': -2.0252460802882752, 'y': -0.041721581243428466, 'z': 0.7476202123844273, 'yaw': -0.021593546308861455, 'velocity': 0.003969133279193647, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1298725605010986, 'x': -2.0252551367354528, 'y': -0.04170399201380489, 'z': 0.7476541954943763, 'yaw': -0.02184873611948568, 'velocity': 0.003812444122185937, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1398496627807617, 'x': -2.025241270236361, 'y': -0.0417331948727078, 'z': 0.7476325915107906, 'yaw': -0.021774864859871457, 'velocity': 0.0038971350573688075, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
