{'time': 1.0475835800170898, 'x': -2.0755897164027974, 'y': -0.03277885356025174, 'z': 0.7474531822077505, 'yaw': 0.044877822640863256, 'velocity': 0.0012634978861587784, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.057647943496704, 'x': -2.0755923180753366, 'y': -0.03282590113186688, 'z': 0.7475002104158641, 'yaw': 0.0451360429080678, 'velocity': 0.006614673628766208, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0676758289337158, 'x': -2.0755698989631024, 'y': -0.03283961186390432, 'z': 0.7474732229326794, 'yaw': 0.04526852472007064, 'velocity': 0.004171229192472791, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.076948642730713, 'x': -2.0755969691049523, 'y': -0.032846671686137925, 'z': 0.7474765788491339, 'yaw': 0.04522138364849325, 'velocity': 0.003038576855093383, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0874214172363281, 'x': -2.075591288313928, 'y': -0.03281354717440043, 'z': 0.747448752242668, 'yaw': 0.04429830161126332, 'velocity': 0.004166311380108188, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0980770587921143, 'x': -2.0755931377037884, 'y': -0.03286056766112075, 'z': 0.747487658429262, 'yaw': 0.04511927093422042, 'velocity': 0.006022207759870627, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1071743965148926, 'x': -2.075590995948417, 'y': -0.032857054366028114, 'z': 0.747489611982204, 'yaw': 0.04503961906087861, 'velocity': 0.0005006802780048021, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1170284748077393, 'x': -2.075585532120208, 'y': -0.0328634315629741, 'z': 0.7475089904044124, 'yaw': 0.04476461366415536, 'velocity': 0.0021432531890241253, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1270406246185303, 'x': -2.0755856798184116, 'y': -0.032814427613247536, 'z': 0.7474408749857824, 'yaw': 0.04435344608099522, 'velocity': 0.008380954979609266, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1371667385101318, 'x': -2.0755993650665343, 'y': -0.032911727221978083, 'z': 0.74738464356517, 'yaw': 0.043938609413492605, 'velocity': 0.012395232619737575, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1471474170684814, 'x': -2.0755908102712803, 'y': -0.03278816729639789, 'z': 0.747469108816658, 'yaw': 0.04441299795207167, 'velocity': 0.01502055897807396, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.156722068786621, 'x': -2.075581557406635, 'y': -0.032807313789347856, 'z': 0.7474441979612944, 'yaw': 0.044803487140087105, 'velocity': 0.0034207959493178243, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1668598651885986, 'x': -2.075591006697842, 'y': -0.032860113895130674, 'z': 0.7474714654368472, 'yaw': 0.045230059274988445, 'velocity': 0.005935400610378251, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1777887344360352, 'x': -2.0755819279276557, 'y': -0.03285315320409494, 'z': 0.7474914562323386, 'yaw': 0.04508323381057917, 'velocity': 0.002307402331636593, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1867897510528564, 'x': -2.075571786131303, 'y': -0.032821290665441816, 'z': 0.7474393103094136, 'yaw': 0.044307995429575774, 'velocity': 0.006882082596357663, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1977341175079346, 'x': -2.0755895205405253, 'y': -0.03279950672084044, 'z': 0.7474487323512624, 'yaw': 0.04463804093850557, 'velocity': 0.00297067469187856, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2077250480651855, 'x': -2.0755738691801624, 'y': -0.03283998988149031, 'z': 0.7475198016038576, 'yaw': 0.04531775692865487, 'velocity': 0.008335038050164167, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2137119770050049, 'x': -2.075584322585335, 'y': -0.03280237221402725, 'z': 0.7474600156191912, 'yaw': 0.04412302463139936, 'velocity': 0.011926877451918264, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2277076244354248, 'x': -2.075573468758495, 'y': -0.03287284354934588, 'z': 0.7474835483471028, 'yaw': 0.04524252426457266, 'velocity': 0.0069885190096326405, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2376813888549805, 'x': -2.075593557551418, 'y': -0.03282923945498727, 'z': 0.7475112398774617, 'yaw': 0.04539272179061042, 'velocity': 0.006174577085434087, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.247654914855957, 'x': -2.0755872518959606, 'y': -0.032853923401943645, 'z': 0.7474828420002125, 'yaw': 0.04510558248014748, 'velocity': 0.0038252258006717097, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2576429843902588, 'x': -2.075594600394465, 'y': -0.03287051706781603, 'z': 0.7474970984978226, 'yaw': 0.045295460360739025, 'velocity': 0.002566661220612023, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2676000595092773, 'x': -2.0755846445373063, 'y': -0.03280866447233757, 'z': 0.7474434876971723, 'yaw': 0.044566117104140664, 'velocity': 0.009191900131564039, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2785887718200684, 'x': -2.0755883574303295, 'y': -0.03282195353548129, 'z': 0.7474528515812081, 'yaw': 0.04476047695090902, 'velocity': 0.001674121837109323, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2865495681762695, 'x': -2.075586700699579, 'y': -0.03287033510790926, 'z': 0.747471369449494, 'yaw': 0.04507664818493862, 'velocity': 0.006510756788670318, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.297520637512207, 'x': -2.075587611400579, 'y': -0.03284778229122294, 'z': 0.7474911651062106, 'yaw': 0.04542092271725527, 'velocity': 0.0030097482140194892, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3075172901153564, 'x': -2.0755842232445003, 'y': -0.03287677898774588, 'z': 0.7474899498318808, 'yaw': 0.045433829086395344, 'velocity': 0.0029229039800628006, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.317509412765503, 'x': -2.0755797049282787, 'y': -0.03281620425258123, 'z': 0.7474398012466834, 'yaw': 0.04476745349055538, 'velocity': 0.007883134550139764, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3279509544372559, 'x': -2.075572483049935, 'y': -0.03285748807920071, 'z': 0.7474958770421356, 'yaw': 0.04504676961908582, 'velocity': 0.006704678129075254, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3379392623901367, 'x': -2.0755857125104877, 'y': -0.03281957585431179, 'z': 0.7474387580732661, 'yaw': 0.04443599193522169, 'velocity': 0.006990244372083734, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3478965759277344, 'x': -2.0755905834545616, 'y': -0.032816707314317364, 'z': 0.747457129342411, 'yaw': 0.044501022979751524, 'velocity': 0.002142096684997558, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3578710556030273, 'x': -2.075585247600802, 'y': -0.032846488750821454, 'z': 0.7475056697926802, 'yaw': 0.04546750536620018, 'velocity': 0.005734407648699686, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3672146797180176, 'x': -2.07558292392867, 'y': -0.032822120333307815, 'z': 0.7474486871370302, 'yaw': 0.04446236801991097, 'velocity': 0.006637475931913593, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3780956268310547, 'x': -2.0755806703645776, 'y': -0.032799566756149645, 'z': 0.7474681703509939, 'yaw': 0.044268423723433765, 'velocity': 0.0027468896278148498, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3840794563293457, 'x': -2.0755797483375202, 'y': -0.03287065660754305, 'z': 0.7474724655180004, 'yaw': 0.04515080535251978, 'velocity': 0.011902988862841678, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3935108184814453, 'x': -2.075590303500094, 'y': -0.0328561929882918, 'z': 0.7474893665886434, 'yaw': 0.045269772021186504, 'velocity': 0.002610675305055807, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4076237678527832, 'x': -2.075590712556254, 'y': -0.032804369680109226, 'z': 0.7474598511699897, 'yaw': 0.04450905865463515, 'velocity': 0.005362850294287075, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4136919975280762, 'x': -2.0755790132969274, 'y': -0.03287829751915347, 'z': 0.7475027235692066, 'yaw': 0.04492520874035978, 'velocity': 0.014214496535439214, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.423722743988037, 'x': -2.075567261866732, 'y': -0.03280929137225752, 'z': 0.7474585916478083, 'yaw': 0.04399362882878531, 'velocity': 0.00824964035629134, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4337153434753418, 'x': -2.075597998535268, 'y': -0.03283239739459715, 'z': 0.7474402369600969, 'yaw': 0.04446832741240991, 'velocity': 0.004264054141343473, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4470152854919434, 'x': -2.075584825388224, 'y': -0.03285147141254094, 'z': 0.7474751801829665, 'yaw': 0.045238925511051305, 'velocity': 0.003152872949473417, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.45737624168396, 'x': -2.0755918800480058, 'y': -0.03284566703953167, 'z': 0.7475017668483525, 'yaw': 0.04539845191865847, 'velocity': 0.002713306352821275, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.463012933731079, 'x': -2.075587135405365, 'y': -0.03285639835014123, 'z': 0.7474964661729301, 'yaw': 0.04511883146073194, 'velocity': 0.002284170014506182, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4731383323669434, 'x': -2.0756005815933114, 'y': -0.03282154963007623, 'z': 0.7474575461188745, 'yaw': 0.04460531723360272, 'velocity': 0.005327637323730027, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4865734577178955, 'x': -2.075566338811651, 'y': -0.03285763543024753, 'z': 0.7474888414252475, 'yaw': 0.0451519823000695, 'velocity': 0.004374504101181075, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4925603866577148, 'x': -2.075589808720721, 'y': -0.03281572960646901, 'z': 0.7474439601189102, 'yaw': 0.044774925221782724, 'velocity': 0.01097997660544805, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5036637783050537, 'x': -2.075578971241419, 'y': -0.03286272547895866, 'z': 0.7474727867090372, 'yaw': 0.044856642160828505, 'velocity': 0.005060390820065333, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5176892280578613, 'x': -2.07558326514616, 'y': -0.032843188633437624, 'z': 0.7475069715673086, 'yaw': 0.04524050469119463, 'velocity': 0.00282395239707681, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
