{'time': 1.043511152267456, 'x': -2.0305691196196096, 'y': -0.03721189013885594, 'z': 0.7475967476033544, 'yaw': -0.01788746662325824, 'velocity': 0.0006948272284945302, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0534656047821045, 'x': -2.030559256827325, 'y': -0.03720445879687381, 'z': 0.7475892384957397, 'yaw': -0.01782478724130865, 'velocity': 0.0014519026851442319, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0626542568206787, 'x': -2.0305524300831883, 'y': -0.03723669583970247, 'z': 0.7475923794506104, 'yaw': -0.018616559906416086, 'velocity': 0.003602412353917953, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0726473331451416, 'x': -2.0305633490379305, 'y': -0.03720475301728436, 'z': 0.7476207320286714, 'yaw': -0.018424054359726938, 'velocity': 0.0049005714823463125, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.083618402481079, 'x': -2.0305559924049468, 'y': -0.03717755833688385, 'z': 0.7476025943695151, 'yaw': -0.017736376323115977, 'velocity': 0.0030540232231055283, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0925939083099365, 'x': -2.0305655026245186, 'y': -0.03720231647338568, 'z': 0.7476106409098819, 'yaw': -0.01818698923117701, 'velocity': 0.0030879189772506786, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1026172637939453, 'x': -2.0305543742919805, 'y': -0.03723379284558071, 'z': 0.7475934797470145, 'yaw': -0.018193937832247542, 'velocity': 0.00374506103224866, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.113576889038086, 'x': -2.030562526642046, 'y': -0.037233068435222505, 'z': 0.7475798970584098, 'yaw': -0.018231971358013688, 'velocity': 0.0014469439706821222, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.123706579208374, 'x': -2.030568951091713, 'y': -0.03722801512386973, 'z': 0.7475960801547785, 'yaw': -0.018712407977815815, 'velocity': 0.001789802410396692, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.133338451385498, 'x': -2.0305560793153346, 'y': -0.0371939798940792, 'z': 0.7476222660092399, 'yaw': -0.018012196020547933, 'velocity': 0.004654396571631571, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.142772912979126, 'x': -2.030557180988101, 'y': -0.037203270001145324, 'z': 0.7476195537520771, 'yaw': -0.018444819311446814, 'velocity': 0.00103243166643617, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.153059482574463, 'x': -2.0305424849453035, 'y': -0.03720466333632758, 'z': 0.7476010656519645, 'yaw': -0.018432144285728924, 'velocity': 0.002548304212519737, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.163569450378418, 'x': -2.0305509021966093, 'y': -0.03722058222359027, 'z': 0.7475924656041081, 'yaw': -0.01796963318441236, 'velocity': 0.0020394597111937775, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1725449562072754, 'x': -2.0305760416651224, 'y': -0.03722955932283236, 'z': 0.7475844921431211, 'yaw': -0.017941994824478336, 'velocity': 0.003103958678131766, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.183516502380371, 'x': -2.0305679967437147, 'y': -0.03722368991162137, 'z': 0.7475903711857216, 'yaw': -0.017997773696780683, 'velocity': 0.0011591985505097736, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1934893131256104, 'x': -2.030561980288464, 'y': -0.03719294695079877, 'z': 0.7476083668872425, 'yaw': -0.017999571358521038, 'velocity': 0.0036225668143684705, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.203495740890503, 'x': -2.0305523642764287, 'y': -0.0371981020228755, 'z': 0.7476029921544712, 'yaw': -0.017750978012101015, 'velocity': 0.0012154843438676513, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2134356498718262, 'x': -2.030556265906704, 'y': -0.03722224820603053, 'z': 0.7475951761041656, 'yaw': -0.01810464783981036, 'velocity': 0.0028712522399771635, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.223412036895752, 'x': -2.030556174853792, 'y': -0.037215746021780856, 'z': 0.747592348566067, 'yaw': -0.01827955695013994, 'velocity': 0.0007912111385518191, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.233384132385254, 'x': -2.0305627627258, 'y': -0.03721672935062908, 'z': 0.7476090086428367, 'yaw': -0.01810927835567533, 'velocity': 0.0019990794616972503, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.243354082107544, 'x': -2.0305537583648623, 'y': -0.03721829994218737, 'z': 0.7475877582115514, 'yaw': -0.01815494905813253, 'velocity': 0.0025782835205931075, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.253331184387207, 'x': -2.0305670128846742, 'y': -0.03719731507847032, 'z': 0.7476071115791492, 'yaw': -0.018371125810629607, 'velocity': 0.0035122294300436487, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2633881568908691, 'x': -2.030566338909635, 'y': -0.03722652815938615, 'z': 0.7475920191080103, 'yaw': -0.0184571215437499, 'velocity': 0.0036294255238494603, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.273352861404419, 'x': -2.030559262234963, 'y': -0.03721765448366849, 'z': 0.7476107674709139, 'yaw': -0.018147028906732032, 'velocity': 0.0024419154969364605, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2836096286773682, 'x': -2.0305575998451713, 'y': -0.03722599332903677, 'z': 0.7476155714760899, 'yaw': -0.018642174774720743, 'velocity': 0.0010552137902314104, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2939057350158691, 'x': -2.030549943085869, 'y': -0.03721674199620593, 'z': 0.7476096652384979, 'yaw': -0.018084757660221662, 'velocity': 0.0016172855231376994, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3036916255950928, 'x': -2.030560755835627, 'y': -0.037223400013849016, 'z': 0.7475928455175802, 'yaw': -0.01828742217974355, 'velocity': 0.002153591788412322, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3136634826660156, 'x': -2.030571088458234, 'y': -0.03722070552309206, 'z': 0.7475977766107588, 'yaw': -0.018095839043930084, 'velocity': 0.001179495667441565, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.323678970336914, 'x': -2.0305574147785754, 'y': -0.037208106023105994, 'z': 0.7475999179692856, 'yaw': -0.017975438338903693, 'velocity': 0.0023267472664660702, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.332669973373413, 'x': -2.0305688985922066, 'y': -0.03718900635809666, 'z': 0.7475817629376255, 'yaw': -0.018244465971027246, 'velocity': 0.0031970952039456378, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3430149555206299, 'x': -2.030561719472978, 'y': -0.037190780067388615, 'z': 0.747612321564729, 'yaw': -0.017845893917255218, 'velocity': 0.003357992202864833, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.353062629699707, 'x': -2.030543277087874, 'y': -0.03721706894593168, 'z': 0.7476058738942364, 'yaw': -0.018430490145565415, 'velocity': 0.0036125646789397278, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3633978366851807, 'x': -2.0305697183818454, 'y': -0.03719972150245025, 'z': 0.7476000365776619, 'yaw': -0.017899616937834928, 'velocity': 0.0034455075442041505, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3731145858764648, 'x': -2.0305734507742765, 'y': -0.037236691756462686, 'z': 0.7476074375368208, 'yaw': -0.018188929487753747, 'velocity': 0.004348328577658046, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3830866813659668, 'x': -2.03058064699028, 'y': -0.03721011929944321, 'z': 0.7475813997800219, 'yaw': -0.017784188447348193, 'velocity': 0.004221549560602827, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3931152820587158, 'x': -2.030574525258302, 'y': -0.03719540664565408, 'z': 0.7476147052234463, 'yaw': -0.017976491704940756, 'velocity': 0.004088702520115243, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
