{'time': 1.0435314178466797, 'x': -2.028544227083699, 'y': -0.036347691270832275, 'z': 0.7476444589376515, 'yaw': -0.020242164344988822, 'velocity': 0.010260775092411528, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0576164722442627, 'x': -2.0285569593201416, 'y': -0.03637280882407177, 'z': 0.7476367101961319, 'yaw': -0.020049202991091697, 'velocity': 0.0029131245073268234, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0676438808441162, 'x': -2.028551632616202, 'y': -0.03634666735006522, 'z': 0.7476463614747282, 'yaw': -0.020132428921374235, 'velocity': 0.0028293169973768275, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.07761812210083, 'x': -2.028563810076753, 'y': -0.03635499264430528, 'z': 0.7476368789727906, 'yaw': -0.020077077955326317, 'velocity': 0.0017581504917691185, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0836021900177002, 'x': -2.02851277800369, 'y': -0.036262645570185666, 'z': 0.7477783321281805, 'yaw': -0.0185641806883865, 'velocity': 0.029489778110264913, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.097435712814331, 'x': -2.028514684852109, 'y': -0.03626297681526437, 'z': 0.7478011504378616, 'yaw': -0.018292074334593345, 'velocity': 0.0023262993441702105, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1074764728546143, 'x': -2.0285598987444486, 'y': -0.03636707485973266, 'z': 0.7476269486825592, 'yaw': -0.019767547512747896, 'velocity': 0.02070669139862529, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.117469310760498, 'x': -2.028535459784175, 'y': -0.03633722415550717, 'z': 0.7476323804489365, 'yaw': -0.02075780391272719, 'velocity': 0.004330737359947851, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1275749206542969, 'x': -2.0285529442002668, 'y': -0.03636012006157814, 'z': 0.7476178566473483, 'yaw': -0.019882237203939113, 'velocity': 0.0031925325005058218, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1335878372192383, 'x': -2.028552035983047, 'y': -0.036346953818213276, 'z': 0.7476292507964885, 'yaw': -0.020243871581366868, 'velocity': 0.002899697240464665, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1475403308868408, 'x': -2.028513509699943, 'y': -0.03625051322928752, 'z': 0.7477792424960524, 'yaw': -0.018481207130381705, 'velocity': 0.01833884571809981, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
