{'time': 1.0437684059143066, 'x': -2.0647002742767, 'y': -0.014609719069712134, 'z': 0.7480734602009074, 'yaw': 2.4725768890319872, 'velocity': 0.006700650636511354, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.053715705871582, 'x': -2.064579173085506, 'y': -0.014738954209475767, 'z': 0.7481229135770028, 'yaw': 2.475741771992869, 'velocity': 0.018485692098071962, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0637314319610596, 'x': -2.0646000967943796, 'y': -0.014495738668104717, 'z': 0.748021103230195, 'yaw': 2.481757287848182, 'velocity': 0.029328941863677547, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0697181224822998, 'x': -2.0646373877248076, 'y': -0.014602821305569528, 'z': 0.7481246696983369, 'yaw': 2.4733919548781866, 'velocity': 0.025651670105681378, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0799522399902344, 'x': -2.06457063415345, 'y': -0.014749069624870182, 'z': 0.7480617711971086, 'yaw': 2.4691467743852833, 'velocity': 0.016868007784545173, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0899240970611572, 'x': -2.0646490408875575, 'y': -0.014688163391501084, 'z': 0.7480673901884454, 'yaw': 2.4740191412038373, 'velocity': 0.009972288530619468, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1002042293548584, 'x': -2.064565501643297, 'y': -0.014736474157015348, 'z': 0.7481146448825658, 'yaw': 2.4753210360164544, 'velocity': 0.010452308309677437, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1141455173492432, 'x': -2.064630794015752, 'y': -0.01471560233250641, 'z': 0.7481397180793972, 'yaw': 2.4747955418412384, 'velocity': 0.007022319033547537, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1201295852661133, 'x': -2.064595971162762, 'y': -0.014745303254429486, 'z': 0.7481288892263279, 'yaw': 2.474414181397644, 'velocity': 0.007859591339365856, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1300430297851562, 'x': -2.0645456993687255, 'y': -0.014783995534632043, 'z': 0.748120235472572, 'yaw': 2.472764065975964, 'velocity': 0.010697581289903994, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1400411128997803, 'x': -2.0647015751468256, 'y': -0.014767497370247223, 'z': 0.7481229828895434, 'yaw': 2.473116895241563, 'velocity': 0.01568005768265272, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
