{'time': 1.044668197631836, 'x': -2.0022808224643738, 'y': -0.027306202870303123, 'z': 0.7471643383942314, 'yaw': -0.028055949678247316, 'velocity': 0.002667474861814692, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0549273490905762, 'x': -2.0022218439643926, 'y': -0.0273518066509585, 'z': 0.7472024821064193, 'yaw': -0.03375035251035019, 'velocity': 0.008162889479022738, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0609405040740967, 'x': -2.0022315731750804, 'y': -0.027369648703758367, 'z': 0.7472556510164451, 'yaw': -0.033247098545419185, 'velocity': 0.009465975468821658, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.074937343597412, 'x': -2.0022075139170634, 'y': -0.027339033044017167, 'z': 0.7472847422293498, 'yaw': -0.03302487816509814, 'velocity': 0.004818819379146568, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0849261283874512, 'x': -2.0022690565969703, 'y': -0.02746852108582132, 'z': 0.7472998812215453, 'yaw': -0.03282382495842917, 'velocity': 0.01443278943330428, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0947864055633545, 'x': -2.0022514895678754, 'y': -0.027401929605467737, 'z': 0.7472817507206764, 'yaw': -0.03103556734853541, 'velocity': 0.007222530807328217, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1047766208648682, 'x': -2.002240780550632, 'y': -0.02745369276043424, 'z': 0.7472485123736249, 'yaw': -0.03156489888016445, 'velocity': 0.006250228869845388, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.114898681640625, 'x': -2.0022834511899785, 'y': -0.027348239080553217, 'z': 0.7471050972603669, 'yaw': -0.0280626330945557, 'velocity': 0.020065035692986944, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1207876205444336, 'x': -2.0023161051337874, 'y': -0.02736338341737482, 'z': 0.7471805828121749, 'yaw': -0.02593736542043157, 'velocity': 0.01420091852680068, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.130741834640503, 'x': -2.0022688155143817, 'y': -0.027406901864828914, 'z': 0.7472794743792518, 'yaw': -0.031076864894931333, 'velocity': 0.01184818942178136, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1407151222229004, 'x': -2.0022330053771102, 'y': -0.027497773249570215, 'z': 0.7471820758659167, 'yaw': -0.03223853156562573, 'velocity': 0.01383058281901007, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1546390056610107, 'x': -2.002197393796143, 'y': -0.027363695281384794, 'z': 0.7472054830931063, 'yaw': -0.03324104994889865, 'velocity': 0.01010404481243864, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1647248268127441, 'x': -2.002089136948018, 'y': -0.027427465028458095, 'z': 0.7472694568596949, 'yaw': -0.03199635499375475, 'velocity': 0.013979237283635579, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1747426986694336, 'x': -2.002170195029776, 'y': -0.027572418652145717, 'z': 0.7472589624425914, 'yaw': -0.03241774423646415, 'velocity': 0.016611255612798033, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1857476234436035, 'x': -2.002129831018722, 'y': -0.027427171139489937, 'z': 0.7472293646107896, 'yaw': -0.031921840623937214, 'velocity': 0.013960098241236046, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1917505264282227, 'x': -2.002268207939629, 'y': -0.027438356256128536, 'z': 0.7471984145532429, 'yaw': -0.025785641905335055, 'velocity': 0.02369459759984586, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2048358917236328, 'x': -2.002137332691402, 'y': -0.027436129347343702, 'z': 0.747255362518536, 'yaw': -0.0332140293952925, 'velocity': 0.010908811978928776, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.214747428894043, 'x': -2.002228956547041, 'y': -0.027425318880797734, 'z': 0.7472180306210541, 'yaw': -0.03112964517556538, 'velocity': 0.010041451121666713, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2207298278808594, 'x': -2.002270577808637, 'y': -0.027340516528113677, 'z': 0.7472262458849189, 'yaw': -0.034525026989972396, 'velocity': 0.015850204858804562, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2307050228118896, 'x': -2.0022909752737346, 'y': -0.02750781806212335, 'z': 0.7471231653347937, 'yaw': -0.027631319467492865, 'velocity': 0.03308351042081245, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2439990043640137, 'x': -2.0021455458321165, 'y': -0.027518676177439808, 'z': 0.7472114378100138, 'yaw': -0.029992873023146238, 'velocity': 0.018990662756199195, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2549657821655273, 'x': -2.0021915554171734, 'y': -0.02739107687420303, 'z': 0.7472880856311135, 'yaw': -0.034107229187597454, 'velocity': 0.015629857073841586, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2657480239868164, 'x': -2.0022167031579365, 'y': -0.02734902454967794, 'z': 0.7472635565302191, 'yaw': -0.033203609233657616, 'velocity': 0.00508196018274263, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2748842239379883, 'x': -2.0022155669173953, 'y': -0.027336041571304197, 'z': 0.7472605979399073, 'yaw': -0.03290471070782086, 'velocity': 0.0014627752231150181, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2852306365966797, 'x': -2.0021882198253915, 'y': -0.02739876915047054, 'z': 0.7471619148026398, 'yaw': -0.033053939083316664, 'velocity': 0.011606666455697072, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2952032089233398, 'x': -2.0022080656663395, 'y': -0.027444686610585266, 'z': 0.7472074565385616, 'yaw': -0.0348887544823846, 'velocity': 0.0067834559623789785, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3051974773406982, 'x': -2.002195922726452, 'y': -0.027428105769292044, 'z': 0.7472049005736885, 'yaw': -0.03412959751341926, 'velocity': 0.0020721977009118676, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.315171241760254, 'x': -2.0021992507303605, 'y': -0.027423372855267948, 'z': 0.747199118930128, 'yaw': -0.03389610053275405, 'velocity': 0.0008200970927260436, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3248932361602783, 'x': -2.002178875315081, 'y': -0.027546735457318505, 'z': 0.7472858645986638, 'yaw': -0.0323785598167321, 'velocity': 0.015653013959964684, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3350625038146973, 'x': -2.002278253591059, 'y': -0.027396290836765716, 'z': 0.7471964709304193, 'yaw': -0.03465848919399406, 'velocity': 0.019789845775513317, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3460068702697754, 'x': -2.0022681784785696, 'y': -0.02732730974929367, 'z': 0.7472034171550466, 'yaw': -0.03350570601269354, 'velocity': 0.00701150821509304, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3549859523773193, 'x': -2.0022251774019573, 'y': -0.027462875262858056, 'z': 0.7472333077892788, 'yaw': -0.03244283735728537, 'velocity': 0.016185297251484265, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.364959955215454, 'x': -2.0021197333903866, 'y': -0.02741080441582182, 'z': 0.7472675085038394, 'yaw': -0.0322301367929656, 'velocity': 0.013637579218469191, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.374945878982544, 'x': -2.0021436009802245, 'y': -0.027536260492025625, 'z': 0.7472304962146639, 'yaw': -0.031203750107135164, 'velocity': 0.014801251397757573, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3859961032867432, 'x': -2.0022665005413933, 'y': -0.027319409514635972, 'z': 0.747177657607047, 'yaw': -0.032306507356064884, 'velocity': 0.02530338119233228, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.395007610321045, 'x': -2.002224544118375, 'y': -0.027424809892912117, 'z': 0.7472326706385939, 'yaw': -0.03208055003229404, 'velocity': 0.013990933854412631, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4049487113952637, 'x': -2.0021434422626245, 'y': -0.027455233545817116, 'z': 0.7472444155337988, 'yaw': -0.032448909473304255, 'velocity': 0.0097357117060766, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4149408340454102, 'x': -2.002292138906208, 'y': -0.027352608676941476, 'z': 0.7471499837371955, 'yaw': -0.02943941718387766, 'velocity': 0.02265783315809008, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4248936176300049, 'x': -2.0022395612232473, 'y': -0.027404331760461923, 'z': 0.7472843314464117, 'yaw': -0.03131605733414222, 'velocity': 0.017074134423950133, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.434868335723877, 'x': -2.0022663514206056, 'y': -0.027495638790728534, 'z': 0.7471635603187303, 'yaw': -0.02626697022568436, 'velocity': 0.01711859875189228, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4448440074920654, 'x': -2.0023049103445167, 'y': -0.02740954480191023, 'z': 0.7471055065631447, 'yaw': -0.029600661149943974, 'velocity': 0.012330487795557635, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4548118114471436, 'x': -2.002229993921994, 'y': -0.027418364456353133, 'z': 0.7472199557311584, 'yaw': -0.033703116321490256, 'velocity': 0.015290930919585182, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4647819995880127, 'x': -2.0020821946945473, 'y': -0.027429827741317348, 'z': 0.7471920347427231, 'yaw': -0.032031914187441224, 'velocity': 0.01681752849922091, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.474801778793335, 'x': -2.002314134267239, 'y': -0.02740455931350795, 'z': 0.7471850012754276, 'yaw': -0.03182406149850525, 'velocity': 0.02588029668941241, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.485757827758789, 'x': -2.002255626649293, 'y': -0.02731477507567479, 'z': 0.7471767936218171, 'yaw': -0.03265795029240426, 'velocity': 0.010747132649338428, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4957013130187988, 'x': -2.0021557288349245, 'y': -0.02747912663611794, 'z': 0.7472032684674835, 'yaw': -0.03476471213701515, 'velocity': 0.021627561476019255, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5056805610656738, 'x': -2.0022785879375147, 'y': -0.027342709473340568, 'z': 0.7471987863216801, 'yaw': -0.034471331269775085, 'velocity': 0.018402308570456945, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.514653205871582, 'x': -2.0021317708590773, 'y': -0.02742919725850717, 'z': 0.7472570589685588, 'yaw': -0.032925764250652634, 'velocity': 0.022562860812417984, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5256261825561523, 'x': -2.0022179638632043, 'y': -0.027524127796179784, 'z': 0.7471518740565466, 'yaw': -0.03241438769179972, 'velocity': 0.018413550031781446, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5355947017669678, 'x': -2.0022046831466134, 'y': -0.027497087565149146, 'z': 0.7472321464600873, 'yaw': -0.0359460742308908, 'velocity': 0.008600996546461345, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.545567512512207, 'x': -2.0022156791047347, 'y': -0.027377663610949576, 'z': 0.7472293996870389, 'yaw': -0.03302017727241591, 'velocity': 0.01202876161413846, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5545449256896973, 'x': -2.0021784876921678, 'y': -0.027386254292269263, 'z': 0.7471757962336991, 'yaw': -0.03279634925431729, 'velocity': 0.00824887123357338, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5645198822021484, 'x': -2.0022319489493565, 'y': -0.02738443089521802, 'z': 0.747197584347579, 'yaw': -0.028648700898250112, 'velocity': 0.006434032952552311, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.575486660003662, 'x': -2.002320395473197, 'y': -0.027406274009422454, 'z': 0.7471740380770564, 'yaw': -0.02690900941548069, 'velocity': 0.009437432905929159, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5855433940887451, 'x': -2.0022260251461015, 'y': -0.027451829640785685, 'z': 0.7472416347025316, 'yaw': -0.034439339537026825, 'velocity': 0.012399766519953535, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.594555139541626, 'x': -2.00227145943385, 'y': -0.027437932994592264, 'z': 0.747310021866385, 'yaw': -0.03285580601298399, 'velocity': 0.010406629936332252, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6055254936218262, 'x': -2.002229287619628, 'y': -0.027421630707059146, 'z': 0.7472424265359217, 'yaw': -0.03504237450411107, 'velocity': 0.008133619005415881, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6155052185058594, 'x': -2.0022893412345195, 'y': -0.027289934687799108, 'z': 0.7471917926669195, 'yaw': -0.028819502791539442, 'velocity': 0.01536545075748079, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6254498958587646, 'x': -2.0022345580986456, 'y': -0.027341236319427184, 'z': 0.7472721480749733, 'yaw': -0.03147826313018687, 'velocity': 0.012259976397879173, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6354498863220215, 'x': -2.0021547513171454, 'y': -0.027572748428054034, 'z': 0.7472437693144319, 'yaw': -0.0323261002568378, 'velocity': 0.024652068630914414, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6453967094421387, 'x': -2.00212982287933, 'y': -0.027440255605338672, 'z': 0.7472485701630844, 'yaw': -0.03199192685694818, 'velocity': 0.015071766339672553, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.655381202697754, 'x': -2.0021729328654274, 'y': -0.027548845099127726, 'z': 0.7472392378076287, 'yaw': -0.03170085116000898, 'velocity': 0.011738801132771518, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6653361320495605, 'x': -2.0021914954454565, 'y': -0.02751443505384402, 'z': 0.747288389512083, 'yaw': -0.032002138414752856, 'velocity': 0.00701829503504157, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6753275394439697, 'x': -2.002258325334796, 'y': -0.027348948879861588, 'z': 0.7472206937507945, 'yaw': -0.03432934955452893, 'velocity': 0.0212338929615048, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.68528413772583, 'x': -2.0022034640359068, 'y': -0.027338092143969636, 'z': 0.7472330907144535, 'yaw': -0.03221048493912715, 'velocity': 0.005753246904711995, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.695268154144287, 'x': -2.0022452368892485, 'y': -0.02746893710037928, 'z': 0.7472668858353083, 'yaw': -0.03265583358964719, 'velocity': 0.014167426021741885, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7052340507507324, 'x': -2.002174263663967, 'y': -0.02757504618332805, 'z': 0.7472512393169667, 'yaw': -0.032420424360377176, 'velocity': 0.01433154911149274, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7152070999145508, 'x': -2.002145088927584, 'y': -0.027444689448791842, 'z': 0.7472860725524509, 'yaw': -0.033749053265764495, 'velocity': 0.015384672093417052, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7251808643341064, 'x': -2.002283524626823, 'y': -0.027262618717194223, 'z': 0.7471872384664647, 'yaw': -0.027639850310438696, 'velocity': 0.027764055135302064, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7351503372192383, 'x': -2.002234563975456, 'y': -0.02748678067650877, 'z': 0.7471923208781164, 'yaw': -0.03160054874398721, 'velocity': 0.023020560595134434, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
